Profil,ProfilKey,Metrik,Einheit,Hypothese,Kestrel-Kit (Prototyp) n,Kestrel-Kit (Prototyp) Median,Kestrel-Kit (Prototyp) IQR,Kestrel-Kit (Prototyp) Mean,Kestrel-Kit (Prototyp) SD,Kestrel-Kit (Prototyp) Min,Kestrel-Kit (Prototyp) Max,Kestrel-Kit (Prototyp) CV%,Legacy (Baseline 1) n,Legacy (Baseline 1) Median,Legacy (Baseline 1) IQR,Legacy (Baseline 1) Mean,Legacy (Baseline 1) SD,Legacy (Baseline 1) Min,Legacy (Baseline 1) Max,Legacy (Baseline 1) CV%,Legacy (Baseline 2) n,Legacy (Baseline 2) Median,Legacy (Baseline 2) IQR,Legacy (Baseline 2) Mean,Legacy (Baseline 2) SD,Legacy (Baseline 2) Min,Legacy (Baseline 2) Max,Legacy (Baseline 2) CV%
Cable (Referenz),cable,HTML-Dokument,KB,H1,50,14.97,0.03,14.97,0.03,14.92,15.06,0.2,50,18.43,0.05,18.44,0.03,18.4,18.51,0.2,50,17.36,0.06,17.37,0.04,17.33,17.47,0.2
Cable (Referenz),cable,JS-Payload,KB,H2,50,755.66,0.08,755.64,0.07,755.44,755.77,0.0,50,566.6,0.06,566.61,0.04,566.5,566.69,0.0,50,575.52,0.05,575.53,0.04,575.42,575.6,0.0
Cable (Referenz),cable,API-Payload (Fetch+XHR),KB,H1,50,236.58,0.4,236.61,0.27,236.07,237.16,0.1,50,105.82,0.25,105.89,0.12,105.8,106.08,0.1,50,105.82,0.25,105.9,0.12,105.8,106.12,0.1
Cable (Referenz),cable,CSS-Payload,KB,H1,50,25.89,0.02,25.89,0.01,25.88,25.91,0.0,50,61.2,0.04,61.19,0.02,61.13,61.22,0.0,50,72.39,0.07,72.4,0.03,72.34,72.45,0.0
Cable (Referenz),cable,Statische Assets,KB,H1,50,167.28,102.9,183.93,87.17,72.54,467.99,47.4,50,77.38,0.01,77.38,0.01,77.37,77.39,0.0,50,86.02,0.06,86.04,0.03,85.96,86.08,0.0
Cable (Referenz),cable,Time to First Byte,ms,H1,50,288.0,157.22,328.27,132.14,155.4,842.4,40.3,50,236.6,66.3,253.68,81.08,163.9,636.2,32.0,50,97.6,24.08,113.27,39.56,79.2,278.5,34.9
Cable (Referenz),cable,DOMContentLoaded,ms,H2,50,1260.65,253.08,1328.34,264.54,972.3,2256.5,19.9,50,1186.7,175.35,1295.62,314.36,989.5,2372.8,24.3,50,1098.85,200.35,1183.73,287.46,940.6,2206.7,24.3
Cable (Referenz),cable,DOM Interactive,ms,H2,50,967.6,209.8,1040.65,255.24,734.6,2031.9,24.5,50,888.5,117.1,980.17,296.45,742.7,1976.1,30.2,50,778.3,98.5,839.21,238.34,679.6,1871.9,28.4
Cable (Referenz),cable,Lighthouse Score,,H1,50,100.0,0.0,99.84,1.13,92.0,100.0,1.1,50,100.0,0.0,99.44,3.82,73.0,100.0,3.8,50,100.0,0.0,96.0,8.08,80.0,100.0,8.4
4G (Mobil),4g,First Contentful Paint,ms,H1/H2,50,99.7,66.56,155.31,125.05,94.1,732.37,80.5,50,286.71,67.85,301.08,64.59,237.53,614.29,21.5,50,166.27,36.37,193.27,63.29,149.66,446.41,32.7
4G (Mobil),4g,Largest Contentful Paint,ms,H1,50,99.7,66.56,155.31,125.05,94.1,732.37,80.5,50,290.92,75.24,304.43,65.21,237.53,614.29,21.4,50,168.95,44.78,202.2,79.31,154.69,560.82,39.2
4G (Mobil),4g,Time to Interactive,ms,H2,50,104.97,66.07,171.15,145.25,98.24,732.37,84.9,50,382.8,87.05,420.12,173.99,278.57,1047.55,41.4,50,242.95,78.09,292.89,137.25,195.25,837.81,46.9
4G (Mobil),4g,Total Blocking Time,ms,H2,50,0.0,0.0,0.14,1.02,0.0,7.18,707.1,50,0.0,0.0,0.21,0.98,0.0,6.13,459.3,50,0.0,0.0,0.28,1.4,0.0,7.68,497.1
4G (Mobil),4g,Cumulative Layout Shift,,H1,50,0.0,0.0,0.0,0.0,0.0,0.0,,50,0.0,0.0,0.0,0.0,0.0,0.01,303.0,50,0.0,0.0,0.05,0.14,0.0,0.47,279.1
4G (Mobil),4g,Speed Index,ms,H1,50,47.0,9.0,69.28,99.55,42.0,620.0,143.7,50,282.5,71.0,293.9,64.92,229.0,605.0,22.1,50,160.5,35.0,188.02,63.06,144.0,436.0,33.5
4G (Mobil),4g,JS-Ausführungszeit,ms,H2,50,143.14,8.4,143.09,6.81,128.96,160.53,4.8,50,119.34,5.12,119.6,4.57,108.44,130.99,3.8,50,121.58,6.03,122.18,4.41,113.69,135.73,3.6
4G (Mobil),4g,JS Heap (Used),MB,H2,50,13.32,0.26,13.32,0.36,12.45,15.25,2.7,50,10.11,0.05,10.28,0.46,9.95,12.37,4.5,50,11.75,1.76,11.75,1.04,10.15,12.85,8.8
4G (Mobil),4g,Payload (gesamt),KB,H1,50,1155.2,105.88,1184.71,87.07,1087.9,1477.19,7.3,50,838.2,0.1,838.22,0.1,838.06,838.5,0.0,50,865.68,0.23,865.72,0.13,865.54,866.03,0.0
4G (Mobil),4g,HTTP-Requests,,H1,50,131.0,5.0,130.56,4.17,123.0,142.0,3.2,50,100.0,0.0,100.32,0.74,100.0,102.0,0.7,50,104.0,2.0,104.56,0.91,104.0,106.0,0.9
4G (Mobil),4g,HTML-Dokument,KB,H1,50,14.98,0.06,14.99,0.04,14.93,15.08,0.2,50,18.44,0.08,18.46,0.04,18.39,18.57,0.2,50,17.36,0.05,17.37,0.03,17.32,17.47,0.2
4G (Mobil),4g,JS-Payload,KB,H2,50,755.4,0.09,755.41,0.08,755.24,755.66,0.0,50,566.52,0.05,566.52,0.04,566.43,566.61,0.0,50,575.47,0.06,575.47,0.04,575.37,575.56,0.0
4G (Mobil),4g,API-Payload (Fetch+XHR),KB,H1,50,236.68,0.5,236.22,1.68,230.47,237.46,0.7,50,106.08,0.02,106.12,0.09,106.06,106.33,0.1,50,106.07,0.25,106.14,0.11,106.06,106.33,0.1
4G (Mobil),4g,CSS-Payload,KB,H1,50,25.89,0.01,25.89,0.01,25.88,25.91,0.0,50,61.22,0.02,61.22,0.01,61.2,61.25,0.0,50,72.36,0.02,72.36,0.03,72.31,72.42,0.0
4G (Mobil),4g,Statische Assets,KB,H1,50,122.27,105.38,152.21,86.47,61.13,444.6,56.8,50,77.5,0.01,77.5,0.01,77.49,77.5,0.0,50,85.96,0.01,85.96,0.01,85.95,85.98,0.0
4G (Mobil),4g,Time to First Byte,ms,H1,50,227.85,85.35,244.39,121.94,101.1,804.2,49.9,50,243.25,63.08,341.28,471.9,197.3,3518.3,138.3,50,100.75,17.88,112.49,51.01,75.1,374.9,45.3
4G (Mobil),4g,DOMContentLoaded,ms,H2,50,1524.95,137.57,1572.3,161.52,1402.3,2332.6,10.3,50,1556.85,80.58,1684.14,512.07,1383.8,4792.9,30.4,50,1492.95,87.8,1492.38,71.1,1342.6,1656.3,4.8
4G (Mobil),4g,DOM Interactive,ms,H2,50,913.5,150.28,967.61,181.74,802.1,1887.9,18.8,50,939.75,83.27,1067.67,507.95,770.3,4151.6,47.6,50,873.6,81.05,876.61,67.83,731.1,1036.2,7.7
4G (Mobil),4g,Lighthouse Score,,H1,50,100.0,0.0,99.98,0.14,99.0,100.0,0.1,50,100.0,0.0,100.0,0.0,100.0,100.0,0.0,50,100.0,0.0,98.0,6.06,80.0,100.0,6.2
Worst-Case (Stress),worst_case,First Contentful Paint,ms,H1/H2,50,293.0,287.84,289.73,292.3,93.97,1965.06,100.9,50,510.96,34.75,533.3,61.02,482.31,755.82,11.4,50,450.47,8.46,511.23,302.22,441.92,2563.9,59.1
Worst-Case (Stress),worst_case,Largest Contentful Paint,ms,H1,50,293.0,287.84,289.73,292.3,93.97,1965.06,100.9,50,677.9,65.52,684.47,70.39,606.81,952.42,10.3,50,1291.07,595.61,1185.74,389.59,574.91,2579.69,32.9
Worst-Case (Stress),worst_case,Time to Interactive,ms,H2,50,303.16,291.8,358.16,498.21,98.93,3378.49,139.1,50,757.74,125.54,854.35,358.91,630.34,2461.05,42.0,50,757.52,175.75,964.26,578.46,568.46,2596.9,60.0
Worst-Case (Stress),worst_case,Total Blocking Time,ms,H2,50,0.0,0.0,0.53,2.13,0.0,9.91,401.6,50,0.0,0.0,0.4,1.87,0.0,9.83,472.2,50,0.0,0.0,0.49,1.9,0.0,9.34,386.6
Worst-Case (Stress),worst_case,Cumulative Layout Shift,,H1,50,0.0,0.0,0.0,0.0,0.0,0.0,,50,0.01,0.0,0.01,0.0,0.01,0.01,0.0,50,0.41,0.1,0.39,0.09,0.0,0.47,23.5
Worst-Case (Stress),worst_case,Speed Index,ms,H1,50,70.0,34.75,84.04,107.93,39.0,730.0,128.4,50,484.0,41.5,508.1,63.42,458.0,740.0,12.5,50,523.0,61.25,564.7,295.62,446.0,2557.0,52.3
Worst-Case (Stress),worst_case,JS-Ausführungszeit,ms,H2,50,202.04,15.92,204.42,14.28,170.58,244.67,7.0,50,162.65,7.54,161.96,5.16,147.62,173.06,3.2,50,156.86,11.75,161.95,16.29,139.21,200.93,10.1
Worst-Case (Stress),worst_case,JS Heap (Used),MB,H2,50,12.98,1.33,12.97,0.75,11.68,14.73,5.8,50,11.18,0.04,11.18,0.04,11.03,11.25,0.3,50,10.5,0.05,10.2,0.61,8.84,10.78,6.0
Worst-Case (Stress),worst_case,Payload (gesamt),KB,H1,50,1155.13,113.21,1185.34,108.84,1087.92,1599.24,9.2,50,847.04,0.13,847.05,0.1,846.88,847.34,0.0,50,870.89,0.13,871.32,1.42,870.28,875.42,0.2
Worst-Case (Stress),worst_case,HTTP-Requests,,H1,50,129.5,6.0,129.32,3.54,123.0,138.0,2.7,50,104.0,0.0,104.0,0.0,104.0,104.0,0.0,50,107.0,0.0,107.0,1.23,105.0,110.0,1.1
Worst-Case (Stress),worst_case,HTML-Dokument,KB,H1,50,14.98,0.03,14.99,0.03,14.93,15.06,0.2,50,18.46,0.04,18.46,0.03,18.41,18.59,0.2,50,17.39,0.06,17.4,0.03,17.35,17.46,0.2
Worst-Case (Stress),worst_case,JS-Payload,KB,H2,50,755.77,0.11,755.76,0.08,755.58,755.93,0.0,50,566.83,0.05,566.84,0.03,566.79,566.89,0.0,50,576.19,0.03,576.19,0.02,576.12,576.25,0.0
Worst-Case (Stress),worst_case,API-Payload (Fetch+XHR),KB,H1,50,236.76,0.64,235.72,2.34,230.93,237.5,1.0,50,106.38,0.05,106.37,0.03,106.33,106.44,0.0,50,106.37,0.06,106.28,0.25,105.81,106.63,0.2
Worst-Case (Stress),worst_case,CSS-Payload,KB,H1,50,25.85,0.05,25.84,0.04,25.8,25.91,0.1,50,61.14,0.08,61.15,0.04,61.09,61.21,0.1,50,72.37,0.05,72.38,0.05,72.31,72.47,0.1
Worst-Case (Stress),worst_case,Statische Assets,KB,H1,50,121.54,112.75,153.03,107.8,60.5,565.61,70.4,50,77.39,0.01,77.41,0.04,77.38,77.51,0.1,50,85.96,0.01,85.96,0.0,85.95,85.96,0.0
Worst-Case (Stress),worst_case,Time to First Byte,ms,H1,50,172.35,57.93,215.57,129.66,101.5,652.4,60.1,50,269.4,58.58,300.74,112.96,200.9,771.8,37.6,50,102.2,43.22,137.91,72.13,80.1,404.7,52.3
Worst-Case (Stress),worst_case,DOMContentLoaded,ms,H2,50,13596.1,60.72,13608.02,67.76,13507.6,13898.2,0.5,50,14801.4,123.65,14827.18,102.69,14708.6,15279.2,0.7,50,15458.15,87.73,15528.84,418.47,15373.6,18399.4,2.7
Worst-Case (Stress),worst_case,DOM Interactive,ms,H2,50,6108.55,58.68,6122.37,71.29,6027.4,6447.6,1.2,50,6297.2,75.0,6305.77,80.08,6210.3,6605.9,1.3,50,7644.3,65.33,7713.99,419.21,7571.6,10598.5,5.4
Worst-Case (Stress),worst_case,Lighthouse Score,,H1,50,100.0,0.0,99.66,2.26,84.0,100.0,2.3,50,100.0,0.0,99.84,0.42,98.0,100.0,0.4,50,79.0,2.0,78.88,2.66,70.0,84.0,3.4
